The average electron(hole) population on different diabatic wave function for one core sample. 
         time      csit(1)      csit(2)      csit(3)      csit(4)      csit(5)      csit(6)      csit(7)      csit(8)      csit(9)     csit(10)     csit(11)     csit(12)     csit(13)     csit(14)     csit(15)     csit(16)     csit(17)     csit(18)     csit(19)     csit(20)     csit(21)     csit(22)     csit(23)     csit(24)     csit(25)     csit(26)     csit(27)     csit(28)     csit(29)     csit(30)     csit(31)     csit(32)     csit(33)     csit(34)     csit(35)     csit(36)
          fs             1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36
  0.19000E+02  0.19963E-04  0.56041E-04  0.48460E-03  0.45487E-02  0.77609E-03  0.51851E-04  0.73985E-04  0.66274E-03  0.79324E-01  0.58394E-01  0.76734E-03  0.71425E-04  0.75919E-03  0.67968E-01  0.60415E-03  0.67107E-01  0.61720E-03  0.44110E-03  0.60592E-02  0.73893E-01  0.12357E+00  0.69039E-02  0.11924E+00  0.93180E-01  0.78434E-03  0.64382E-03  0.54912E-03  0.81548E-01  0.50692E-03  0.69618E-01  0.59774E-04  0.72422E-04  0.54130E-03  0.71458E-01  0.67808E-01  0.83960E-03
  0.20000E+02  0.19687E-04  0.35227E-04  0.70511E-03  0.35912E-02  0.68855E-03  0.36808E-04  0.75593E-04  0.67890E-03  0.86374E-01  0.83439E-01  0.70633E-03  0.87505E-04  0.87846E-03  0.73471E-01  0.63714E-03  0.59222E-01  0.46116E-03  0.41360E-03  0.43991E-02  0.63521E-01  0.12391E+00  0.47018E-02  0.11841E+00  0.85548E-01  0.74269E-03  0.64053E-03  0.65852E-03  0.67017E-01  0.55753E-03  0.76303E-01  0.40512E-04  0.59510E-04  0.58822E-03  0.42064E-01  0.98558E-01  0.75637E-03
  0.21000E+02  0.16892E-04  0.48977E-04  0.66610E-03  0.38446E-02  0.52411E-03  0.44989E-04  0.60436E-04  0.66417E-03  0.92299E-01  0.76474E-01  0.57135E-03  0.82079E-04  0.87214E-03  0.56459E-01  0.44981E-03  0.10458E+00  0.66657E-03  0.46372E-03  0.45293E-02  0.75653E-01  0.82523E-01  0.50473E-02  0.57553E-01  0.10264E+00  0.88471E-03  0.58905E-03  0.66231E-03  0.80210E-01  0.37407E-03  0.74898E-01  0.43396E-04  0.82140E-04  0.58979E-03  0.76500E-01  0.97825E-01  0.60599E-03
  0.22000E+02  0.20527E-04  0.43851E-04  0.74793E-03  0.67993E-02  0.61897E-03  0.46095E-04  0.58641E-04  0.89741E-03  0.88773E-01  0.89598E-01  0.49189E-03  0.57569E-04  0.13322E-02  0.87243E-01  0.45837E-03  0.86473E-01  0.47705E-03  0.47116E-03  0.59031E-02  0.72567E-01  0.69051E-01  0.47832E-02  0.47434E-01  0.10191E+00  0.10260E-02  0.71918E-03  0.59935E-03  0.97194E-01  0.36025E-03  0.67943E-01  0.42612E-04  0.46123E-04  0.65280E-03  0.82794E-01  0.81846E-01  0.52120E-03
  0.23000E+02  0.18852E-04  0.69611E-04  0.13937E-02  0.43765E-02  0.10486E-02  0.62407E-04  0.53652E-04  0.60520E-03  0.94835E-01  0.81967E-01  0.59867E-03  0.52057E-04  0.75770E-03  0.75685E-01  0.51680E-03  0.81854E-01  0.63420E-03  0.60696E-03  0.54786E-02  0.10897E+00  0.77958E-01  0.76405E-02  0.59181E-01  0.11187E+00  0.96438E-03  0.64940E-03  0.82833E-03  0.55441E-01  0.36629E-03  0.37988E-01  0.48934E-04  0.57265E-04  0.65575E-03  0.79649E-01  0.10642E+00  0.70130E-03
  0.24000E+02  0.20287E-04  0.56258E-04  0.10049E-02  0.42141E-02  0.63398E-03  0.62173E-04  0.45390E-04  0.95124E-03  0.78622E-01  0.81115E-01  0.62036E-03  0.70979E-04  0.72974E-03  0.57599E-01  0.39246E-03  0.80134E-01  0.59883E-03  0.44380E-03  0.30431E-02  0.12157E+00  0.80087E-01  0.47425E-02  0.79702E-01  0.11336E+00  0.10500E-02  0.74878E-03  0.93739E-03  0.75779E-01  0.46437E-03  0.61282E-01  0.63939E-04  0.88612E-04  0.71686E-03  0.65733E-01  0.82612E-01  0.70392E-03
  0.25000E+02  0.19729E-04  0.44846E-04  0.11067E-02  0.10116E-01  0.86080E-03  0.43851E-04  0.49483E-04  0.47310E-03  0.89316E-01  0.62994E-01  0.87136E-03  0.85148E-04  0.86897E-03  0.63721E-01  0.47551E-03  0.54686E-01  0.76991E-03  0.58498E-03  0.46054E-02  0.11346E+00  0.80550E-01  0.52334E-02  0.69887E-01  0.11617E+00  0.56172E-03  0.55174E-03  0.85704E-03  0.50377E-01  0.47329E-03  0.96766E-01  0.44274E-04  0.79106E-04  0.64708E-03  0.55493E-01  0.11653E+00  0.62170E-03
  0.26000E+02  0.10746E-04  0.52481E-04  0.81651E-03  0.38386E-02  0.10450E-02  0.77572E-04  0.51055E-04  0.10835E-02  0.83296E-01  0.57211E-01  0.82821E-03  0.85582E-04  0.74242E-03  0.85083E-01  0.38249E-03  0.72571E-01  0.62457E-03  0.45988E-03  0.49177E-02  0.11036E+00  0.87053E-01  0.84402E-02  0.86936E-01  0.11845E+00  0.62950E-03  0.61766E-03  0.80108E-03  0.48414E-01  0.45502E-03  0.92299E-01  0.57139E-04  0.71949E-04  0.59897E-03  0.62892E-01  0.68137E-01  0.61382E-03
  0.27000E+02  0.12803E-04  0.81801E-04  0.64086E-03  0.72388E-02  0.39731E-03  0.70438E-04  0.65100E-04  0.71136E-03  0.81466E-01  0.78399E-01  0.46918E-03  0.65999E-04  0.91102E-03  0.83623E-01  0.45230E-03  0.65791E-01  0.52836E-03  0.32904E-03  0.77864E-02  0.10622E+00  0.71630E-01  0.96232E-02  0.76619E-01  0.11125E+00  0.71788E-03  0.10317E-02  0.55101E-03  0.50438E-01  0.43823E-03  0.93848E-01  0.58258E-04  0.61158E-04  0.52600E-03  0.66090E-01  0.81088E-01  0.76830E-03
  0.28000E+02  0.13669E-04  0.48904E-04  0.56183E-03  0.66480E-02  0.49450E-03  0.63087E-04  0.53339E-04  0.49394E-03  0.69347E-01  0.11514E+00  0.72564E-03  0.75952E-04  0.47331E-03  0.69362E-01  0.59790E-03  0.69287E-01  0.74583E-03  0.53641E-03  0.71604E-02  0.81733E-01  0.78290E-01  0.80504E-02  0.96183E-01  0.10117E+00  0.51186E-03  0.82843E-03  0.52282E-03  0.70224E-01  0.56861E-03  0.63744E-01  0.44720E-04  0.86663E-04  0.77424E-03  0.85946E-01  0.68931E-01  0.55866E-03
