The average electron(hole) population on different diabatic wave function for one core sample. 
         time      csit(1)      csit(2)      csit(3)      csit(4)      csit(5)      csit(6)      csit(7)      csit(8)      csit(9)     csit(10)     csit(11)     csit(12)     csit(13)     csit(14)     csit(15)     csit(16)     csit(17)     csit(18)     csit(19)     csit(20)     csit(21)     csit(22)     csit(23)     csit(24)     csit(25)     csit(26)     csit(27)     csit(28)     csit(29)     csit(30)     csit(31)     csit(32)     csit(33)     csit(34)     csit(35)     csit(36)
          fs             1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36
  0.19000E+02  0.17555E-03  0.75817E-03  0.83950E-03  0.35392E-01  0.71834E-03  0.44637E-03  0.31193E-03  0.43486E-03  0.10403E+00  0.60365E-01  0.72529E-03  0.80363E-03  0.54942E-03  0.67896E-01  0.27603E-03  0.46362E-01  0.76555E-03  0.35509E-03  0.66251E-01  0.77183E-01  0.67380E-01  0.45266E-01  0.72691E-01  0.63790E-01  0.64936E-03  0.34916E-03  0.73045E-03  0.55456E-01  0.26409E-03  0.82182E-01  0.61245E-03  0.59835E-03  0.54431E-03  0.61869E-01  0.82602E-01  0.37148E-03
  0.20000E+02  0.14105E-03  0.61967E-03  0.60008E-03  0.45792E-01  0.82971E-03  0.36548E-03  0.44565E-03  0.41041E-03  0.83164E-01  0.70256E-01  0.34985E-03  0.45365E-03  0.68443E-03  0.56829E-01  0.34921E-03  0.63408E-01  0.35165E-03  0.32335E-03  0.71916E-01  0.54323E-01  0.64258E-01  0.83074E-01  0.70496E-01  0.50961E-01  0.54207E-03  0.48759E-03  0.43723E-03  0.53934E-01  0.26579E-03  0.60973E-01  0.48726E-03  0.78103E-03  0.46035E-03  0.75185E-01  0.85743E-01  0.30292E-03
  0.21000E+02  0.13951E-03  0.43249E-03  0.73299E-03  0.52384E-01  0.49226E-03  0.36944E-03  0.66933E-03  0.35651E-03  0.64694E-01  0.80995E-01  0.44141E-03  0.55065E-03  0.82685E-03  0.58158E-01  0.27241E-03  0.76920E-01  0.77328E-03  0.43020E-03  0.58820E-01  0.74459E-01  0.63177E-01  0.76455E-01  0.35850E-01  0.69004E-01  0.70853E-03  0.42583E-03  0.68771E-03  0.80087E-01  0.32703E-03  0.43164E-01  0.49971E-03  0.57508E-03  0.38776E-03  0.79266E-01  0.76161E-01  0.30702E-03
  0.22000E+02  0.10119E-03  0.52213E-03  0.75716E-03  0.74930E-01  0.57416E-03  0.71397E-03  0.51220E-03  0.28931E-03  0.89974E-01  0.49153E-01  0.41949E-03  0.64009E-03  0.70652E-03  0.68542E-01  0.33623E-03  0.76696E-01  0.87003E-03  0.33902E-03  0.64706E-01  0.64691E-01  0.33363E-01  0.77313E-01  0.51521E-01  0.85576E-01  0.67042E-03  0.37270E-03  0.48526E-03  0.56365E-01  0.33218E-03  0.57000E-01  0.64579E-03  0.48276E-03  0.30775E-03  0.58701E-01  0.81234E-01  0.15594E-03
  0.23000E+02  0.99685E-04  0.65858E-03  0.72246E-03  0.51301E-01  0.67231E-03  0.43581E-03  0.56321E-03  0.35289E-03  0.62914E-01  0.62680E-01  0.41798E-03  0.47370E-03  0.49233E-03  0.50845E-01  0.48844E-03  0.79965E-01  0.67905E-03  0.48607E-03  0.67070E-01  0.53124E-01  0.63368E-01  0.10156E+00  0.48043E-01  0.74791E-01  0.45729E-03  0.53856E-03  0.50856E-03  0.70639E-01  0.43767E-03  0.57052E-01  0.73763E-03  0.57587E-03  0.39984E-03  0.70487E-01  0.75756E-01  0.20937E-03
  0.24000E+02  0.13904E-03  0.43110E-03  0.71995E-03  0.69796E-01  0.58250E-03  0.44120E-03  0.56043E-03  0.21355E-03  0.71284E-01  0.69877E-01  0.37893E-03  0.36135E-03  0.53156E-03  0.48917E-01  0.47725E-03  0.84994E-01  0.85773E-03  0.50225E-03  0.38595E-01  0.64400E-01  0.63858E-01  0.99875E-01  0.59895E-01  0.77854E-01  0.57900E-03  0.48806E-03  0.76108E-03  0.68188E-01  0.48987E-03  0.41998E-01  0.59336E-03  0.48027E-03  0.41979E-03  0.65432E-01  0.64881E-01  0.14828E-03
  0.25000E+02  0.90700E-04  0.39185E-03  0.63173E-03  0.65408E-01  0.62782E-03  0.67107E-03  0.45341E-03  0.19428E-03  0.63484E-01  0.91846E-01  0.43554E-03  0.37683E-03  0.55443E-03  0.59237E-01  0.40663E-03  0.74649E-01  0.68115E-03  0.22684E-03  0.33813E-01  0.48042E-01  0.61731E-01  0.10871E+00  0.83935E-01  0.49051E-01  0.49613E-03  0.29558E-03  0.73707E-03  0.65059E-01  0.35579E-03  0.65159E-01  0.72738E-03  0.37942E-03  0.38786E-03  0.61666E-01  0.58854E-01  0.23082E-03
  0.26000E+02  0.11359E-03  0.58375E-03  0.41047E-03  0.71330E-01  0.56736E-03  0.42180E-03  0.52131E-03  0.29830E-03  0.71975E-01  0.59478E-01  0.55744E-03  0.42841E-03  0.70940E-03  0.67796E-01  0.40864E-03  0.60745E-01  0.88755E-03  0.35330E-03  0.43525E-01  0.52595E-01  0.71342E-01  0.11678E+00  0.77638E-01  0.48691E-01  0.62934E-03  0.41562E-03  0.70178E-03  0.62770E-01  0.33938E-03  0.52561E-01  0.42831E-03  0.50466E-03  0.48372E-03  0.60170E-01  0.72485E-01  0.35166E-03
  0.27000E+02  0.93741E-04  0.59600E-03  0.57889E-03  0.88648E-01  0.64826E-03  0.37476E-03  0.51534E-03  0.33449E-03  0.45110E-01  0.64775E-01  0.37023E-03  0.37189E-03  0.63535E-03  0.55924E-01  0.45540E-03  0.46324E-01  0.70600E-03  0.31346E-03  0.54446E-01  0.80903E-01  0.67451E-01  0.77770E-01  0.82430E-01  0.65697E-01  0.58902E-03  0.34525E-03  0.71668E-03  0.75316E-01  0.42376E-03  0.69706E-01  0.59553E-03  0.49309E-03  0.37871E-03  0.65470E-01  0.50129E-01  0.36508E-03
  0.28000E+02  0.73485E-04  0.43880E-03  0.54713E-03  0.74722E-01  0.62638E-03  0.30456E-03  0.65778E-03  0.46975E-03  0.39107E-01  0.73052E-01  0.60148E-03  0.42536E-03  0.60504E-03  0.45875E-01  0.33500E-03  0.84594E-01  0.47241E-03  0.45230E-03  0.42166E-01  0.71711E-01  0.95398E-01  0.82247E-01  0.85462E-01  0.59432E-01  0.61180E-03  0.32156E-03  0.47029E-03  0.76038E-01  0.36247E-03  0.53609E-01  0.57161E-03  0.72205E-03  0.68948E-03  0.58919E-01  0.47676E-01  0.23171E-03
