Averager of naver=      20 pes(ifre,isnap),ifre=0,nfre)
        time    active_pes       pes(1)       pes(2)       pes(3)       pes(4)       pes(5)       pes(6)       pes(7)       pes(8)       pes(9)      pes(10)      pes(11)      pes(12)      pes(13)      pes(14)      pes(15)      pes(16)      pes(17)      pes(18)      pes(19)      pes(20)      pes(21)      pes(22)      pes(23)      pes(24)      pes(25)      pes(26)      pes(27)      pes(28)      pes(29)      pes(30)      pes(31)      pes(32)      pes(33)      pes(34)      pes(35)      pes(36)
           fs           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV
  0.19000E+02 -0.25993E+01  0.61355E-01 -0.55922E-01 -0.22101E+01 -0.22822E+01 -0.23434E+01 -0.24059E+01 -0.24796E+01 -0.25291E+01 -0.25647E+01 -0.26084E+01 -0.26525E+01 -0.26965E+01 -0.27314E+01 -0.27707E+01 -0.28233E+01 -0.28742E+01 -0.29463E+01 -0.43963E+01 -0.44837E+01 -0.45378E+01 -0.45927E+01 -0.46595E+01 -0.47377E+01 -0.51105E+01 -0.51881E+01 -0.52502E+01 -0.52982E+01 -0.53672E+01 -0.54267E+01 -0.65488E+01 -0.66043E+01 -0.66601E+01 -0.67127E+01 -0.67636E+01 -0.68212E+01 -0.74032E+01
  0.20000E+02 -0.25988E+01  0.68313E-01 -0.48999E-01 -0.22060E+01 -0.22778E+01 -0.23377E+01 -0.24037E+01 -0.24738E+01 -0.25230E+01 -0.25609E+01 -0.26073E+01 -0.26484E+01 -0.26898E+01 -0.27264E+01 -0.27673E+01 -0.28160E+01 -0.28635E+01 -0.29460E+01 -0.43988E+01 -0.44819E+01 -0.45344E+01 -0.45921E+01 -0.46579E+01 -0.47302E+01 -0.51078E+01 -0.51873E+01 -0.52458E+01 -0.52947E+01 -0.53648E+01 -0.54318E+01 -0.65473E+01 -0.66050E+01 -0.66587E+01 -0.67129E+01 -0.67647E+01 -0.68203E+01 -0.74033E+01
  0.21000E+02 -0.25924E+01  0.74711E-01 -0.42609E-01 -0.22041E+01 -0.22696E+01 -0.23326E+01 -0.24024E+01 -0.24693E+01 -0.25169E+01 -0.25599E+01 -0.26028E+01 -0.26415E+01 -0.26857E+01 -0.27211E+01 -0.27640E+01 -0.28102E+01 -0.28615E+01 -0.29412E+01 -0.44035E+01 -0.44742E+01 -0.45305E+01 -0.45909E+01 -0.46576E+01 -0.47273E+01 -0.51073E+01 -0.51823E+01 -0.52457E+01 -0.52920E+01 -0.53609E+01 -0.54356E+01 -0.65463E+01 -0.66061E+01 -0.66578E+01 -0.67113E+01 -0.67651E+01 -0.68199E+01 -0.74032E+01
  0.22000E+02 -0.25752E+01  0.80588E-01 -0.36865E-01 -0.22021E+01 -0.22626E+01 -0.23273E+01 -0.23980E+01 -0.24685E+01 -0.25140E+01 -0.25553E+01 -0.25959E+01 -0.26367E+01 -0.26821E+01 -0.27168E+01 -0.27636E+01 -0.28060E+01 -0.28588E+01 -0.29373E+01 -0.44024E+01 -0.44674E+01 -0.45316E+01 -0.45877E+01 -0.46561E+01 -0.47281E+01 -0.51105E+01 -0.51777E+01 -0.52407E+01 -0.52941E+01 -0.53574E+01 -0.54359E+01 -0.65465E+01 -0.66063E+01 -0.66575E+01 -0.67094E+01 -0.67641E+01 -0.68197E+01 -0.74031E+01
  0.23000E+02 -0.25592E+01  0.86823E-01 -0.32717E-01 -0.21999E+01 -0.22575E+01 -0.23202E+01 -0.23949E+01 -0.24675E+01 -0.25065E+01 -0.25524E+01 -0.25912E+01 -0.26345E+01 -0.26796E+01 -0.27143E+01 -0.27588E+01 -0.28056E+01 -0.28526E+01 -0.29384E+01 -0.43963E+01 -0.44641E+01 -0.45320E+01 -0.45860E+01 -0.46561E+01 -0.47299E+01 -0.51143E+01 -0.51777E+01 -0.52321E+01 -0.52981E+01 -0.53541E+01 -0.54341E+01 -0.65484E+01 -0.66067E+01 -0.66566E+01 -0.67081E+01 -0.67616E+01 -0.68191E+01 -0.74029E+01
  0.24000E+02 -0.25415E+01  0.91250E-01 -0.28247E-01 -0.21958E+01 -0.22528E+01 -0.23154E+01 -0.23915E+01 -0.24597E+01 -0.25013E+01 -0.25522E+01 -0.25936E+01 -0.26335E+01 -0.26756E+01 -0.27085E+01 -0.27567E+01 -0.28010E+01 -0.28508E+01 -0.29424E+01 -0.43883E+01 -0.44658E+01 -0.45297E+01 -0.45848E+01 -0.46574E+01 -0.47312E+01 -0.51160E+01 -0.51791E+01 -0.52280E+01 -0.52964E+01 -0.53556E+01 -0.54315E+01 -0.65512E+01 -0.66077E+01 -0.66537E+01 -0.67088E+01 -0.67590E+01 -0.68173E+01 -0.74026E+01
  0.25000E+02 -0.25369E+01  0.93900E-01 -0.24923E-01 -0.21884E+01 -0.22528E+01 -0.23132E+01 -0.23881E+01 -0.24507E+01 -0.25019E+01 -0.25513E+01 -0.25935E+01 -0.26325E+01 -0.26730E+01 -0.27091E+01 -0.27534E+01 -0.27970E+01 -0.28500E+01 -0.29469E+01 -0.43849E+01 -0.44641E+01 -0.45283E+01 -0.45833E+01 -0.46616E+01 -0.47310E+01 -0.51178E+01 -0.51761E+01 -0.52341E+01 -0.52911E+01 -0.53583E+01 -0.54274E+01 -0.65531E+01 -0.66106E+01 -0.66499E+01 -0.67107E+01 -0.67559E+01 -0.68152E+01 -0.74022E+01
  0.26000E+02 -0.25349E+01  0.96008E-01 -0.23672E-01 -0.21804E+01 -0.22547E+01 -0.23128E+01 -0.23888E+01 -0.24449E+01 -0.24978E+01 -0.25529E+01 -0.25911E+01 -0.26318E+01 -0.26717E+01 -0.27151E+01 -0.27506E+01 -0.27913E+01 -0.28542E+01 -0.29481E+01 -0.43853E+01 -0.44564E+01 -0.45297E+01 -0.45845E+01 -0.46665E+01 -0.47296E+01 -0.51204E+01 -0.51749E+01 -0.52383E+01 -0.52893E+01 -0.53577E+01 -0.54237E+01 -0.65550E+01 -0.66121E+01 -0.66488E+01 -0.67129E+01 -0.67526E+01 -0.68124E+01 -0.74017E+01
  0.27000E+02 -0.25267E+01  0.95117E-01 -0.23072E-01 -0.21768E+01 -0.22545E+01 -0.23173E+01 -0.23913E+01 -0.24420E+01 -0.24946E+01 -0.25525E+01 -0.25913E+01 -0.26342E+01 -0.26719E+01 -0.27149E+01 -0.27504E+01 -0.27952E+01 -0.28589E+01 -0.29435E+01 -0.43892E+01 -0.44505E+01 -0.45327E+01 -0.45844E+01 -0.46671E+01 -0.47308E+01 -0.51221E+01 -0.51773E+01 -0.52361E+01 -0.52907E+01 -0.53577E+01 -0.54213E+01 -0.65571E+01 -0.66116E+01 -0.66516E+01 -0.67126E+01 -0.67505E+01 -0.68095E+01 -0.74011E+01
  0.28000E+02 -0.25217E+01  0.94117E-01 -0.25983E-01 -0.21773E+01 -0.22558E+01 -0.23204E+01 -0.23920E+01 -0.24452E+01 -0.24986E+01 -0.25497E+01 -0.25917E+01 -0.26335E+01 -0.26722E+01 -0.27169E+01 -0.27558E+01 -0.28011E+01 -0.28614E+01 -0.29386E+01 -0.43948E+01 -0.44499E+01 -0.45359E+01 -0.45841E+01 -0.46644E+01 -0.47315E+01 -0.51222E+01 -0.51820E+01 -0.52329E+01 -0.52890E+01 -0.53572E+01 -0.54235E+01 -0.65590E+01 -0.66111E+01 -0.66556E+01 -0.67102E+01 -0.67492E+01 -0.68078E+01 -0.74005E+01
