The average electron(hole) population on different adiabatic wave function for one core sample. 
        time       wsit(1)      wsit(2)      wsit(3)      wsit(4)      wsit(5)      wsit(6)      wsit(7)      wsit(8)      wsit(9)     wsit(10)     wsit(11)     wsit(12)     wsit(13)     wsit(14)     wsit(15)     wsit(16)     wsit(17)     wsit(18)     wsit(19)     wsit(20)     wsit(21)     wsit(22)     wsit(23)     wsit(24)     wsit(25)     wsit(26)     wsit(27)     wsit(28)     wsit(29)     wsit(30)     wsit(31)     wsit(32)     wsit(33)     wsit(34)     wsit(35)     wsit(36)
         fs              1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36
  0.19000E+02  0.83524E-05  0.88777E-05  0.76439E-01  0.38990E-01  0.44455E-01  0.17599E-01  0.64704E-01  0.51883E-01  0.13306E+00  0.52358E-01  0.93782E-01  0.18964E-01  0.97070E-01  0.55923E-01  0.53094E-01  0.14230E+00  0.54929E-01  0.17736E-03  0.23261E-03  0.15218E-03  0.92077E-04  0.92251E-04  0.94491E-04  0.15672E-03  0.16833E-03  0.23708E-03  0.17698E-03  0.80537E-04  0.96008E-04  0.52604E-03  0.48286E-03  0.50849E-03  0.40529E-03  0.22422E-03  0.47233E-03  0.56915E-04
  0.20000E+02  0.64381E-05  0.10382E-04  0.86244E-01  0.38132E-01  0.84926E-01  0.19711E-01  0.51872E-01  0.55371E-01  0.13546E+00  0.59573E-01  0.93044E-01  0.94669E-02  0.96541E-01  0.12908E-01  0.50467E-01  0.14151E+00  0.60818E-01  0.12835E-03  0.10434E-03  0.10675E-03  0.94141E-04  0.83825E-04  0.71791E-04  0.12973E-03  0.17779E-03  0.16109E-03  0.16433E-03  0.14581E-03  0.60348E-04  0.57605E-03  0.53106E-03  0.27583E-03  0.32710E-03  0.35035E-03  0.40549E-03  0.43452E-04
  0.21000E+02  0.71153E-05  0.11265E-04  0.87044E-01  0.44295E-01  0.85778E-01  0.15415E-01  0.50958E-01  0.46509E-01  0.13278E+00  0.64374E-01  0.96836E-01  0.11413E-01  0.94475E-01  0.10704E-01  0.56200E-01  0.14342E+00  0.56019E-01  0.10172E-03  0.10498E-03  0.10142E-03  0.94967E-04  0.75302E-04  0.92541E-04  0.12325E-03  0.10522E-03  0.13621E-03  0.77609E-04  0.12433E-03  0.10086E-03  0.54383E-03  0.54814E-03  0.32789E-03  0.50517E-03  0.26667E-03  0.30257E-03  0.34343E-04
  0.22000E+02  0.64028E-05  0.89728E-05  0.86020E-01  0.37385E-01  0.92399E-01  0.48781E-01  0.22585E-01  0.49878E-01  0.17041E+00  0.62671E-01  0.10373E+00  0.73400E-02  0.50633E-01  0.14651E-01  0.54507E-01  0.13936E+00  0.55929E-01  0.16568E-03  0.14989E-03  0.82041E-04  0.74401E-04  0.13135E-03  0.66681E-04  0.10376E-03  0.91889E-04  0.98513E-04  0.10396E-03  0.14535E-03  0.71339E-04  0.61674E-03  0.41581E-03  0.42027E-03  0.39298E-03  0.15841E-03  0.38760E-03  0.29615E-04
  0.23000E+02  0.79610E-05  0.11049E-04  0.13536E+00  0.16073E-01  0.89132E-01  0.47206E-01  0.11097E-01  0.84902E-01  0.12560E+00  0.61305E-01  0.94383E-01  0.13214E-01  0.55177E-01  0.81693E-02  0.55975E-01  0.14224E+00  0.56562E-01  0.13831E-03  0.10563E-03  0.71063E-04  0.86736E-04  0.11172E-03  0.67817E-04  0.64200E-04  0.12468E-03  0.77736E-04  0.18672E-03  0.15252E-03  0.46725E-04  0.57870E-03  0.37880E-03  0.36871E-03  0.39419E-03  0.19643E-03  0.40069E-03  0.23638E-04
  0.24000E+02  0.80603E-05  0.16868E-04  0.13783E+00  0.17391E-01  0.76711E-01  0.45881E-01  0.13198E-01  0.87368E-01  0.12979E+00  0.48655E-01  0.14024E+00  0.17929E-01  0.96520E-01  0.15675E-01  0.55540E-01  0.10412E+00  0.98186E-02  0.10079E-03  0.13044E-03  0.74140E-04  0.93741E-04  0.74392E-04  0.62528E-04  0.11993E-03  0.97277E-04  0.10404E-03  0.56597E-04  0.10228E-03  0.96261E-04  0.50734E-03  0.34954E-03  0.46235E-03  0.34800E-03  0.22241E-03  0.27444E-03  0.28154E-04
  0.25000E+02  0.85193E-05  0.15396E-04  0.13815E+00  0.13002E-01  0.89978E-01  0.47817E-01  0.14888E-01  0.99212E-01  0.12036E+00  0.51616E-01  0.14045E+00  0.22933E-01  0.95221E-01  0.14812E-01  0.48924E-01  0.93145E-01  0.62250E-02  0.87946E-04  0.16541E-03  0.98129E-04  0.80272E-04  0.78984E-04  0.69621E-04  0.73049E-04  0.10858E-03  0.89144E-04  0.97043E-04  0.10393E-03  0.62644E-04  0.37912E-03  0.32226E-03  0.42726E-03  0.29041E-03  0.28392E-03  0.39775E-03  0.24186E-04
  0.26000E+02  0.60846E-05  0.20224E-04  0.13703E+00  0.14100E-01  0.91767E-01  0.46008E-01  0.11887E-01  0.91099E-01  0.13384E+00  0.56070E-01  0.96100E-01  0.56811E-01  0.97569E-01  0.11875E-01  0.51668E-01  0.94942E-01  0.58343E-02  0.14451E-03  0.92293E-04  0.86626E-04  0.10728E-03  0.99048E-04  0.85924E-04  0.17530E-03  0.10471E-03  0.89837E-04  0.55101E-04  0.88804E-04  0.85618E-04  0.41618E-03  0.29348E-03  0.49705E-03  0.27529E-03  0.28735E-03  0.36989E-03  0.24735E-04
  0.27000E+02  0.87476E-05  0.25087E-04  0.12718E+00  0.17358E-01  0.82516E-01  0.54914E-01  0.19254E-01  0.93849E-01  0.12604E+00  0.53230E-01  0.94177E-01  0.59002E-01  0.97211E-01  0.84262E-02  0.50424E-01  0.10064E+00  0.12131E-01  0.21744E-03  0.10544E-03  0.17562E-03  0.84508E-04  0.88868E-04  0.10079E-03  0.77041E-04  0.14357E-03  0.16037E-03  0.70424E-04  0.82530E-04  0.64154E-04  0.47251E-03  0.51224E-03  0.44849E-03  0.25198E-03  0.33294E-03  0.19127E-03  0.25919E-04
  0.28000E+02  0.74933E-05  0.15815E-04  0.12340E+00  0.13178E-01  0.75690E-01  0.60156E-01  0.24032E-01  0.89606E-01  0.13365E+00  0.49284E-01  0.89085E-01  0.56306E-01  0.96668E-01  0.13053E-01  0.54868E-01  0.10546E+00  0.12063E-01  0.12101E-03  0.10748E-03  0.12326E-03  0.77732E-04  0.10152E-03  0.83382E-04  0.87072E-04  0.10786E-03  0.16872E-03  0.14320E-03  0.70965E-04  0.10498E-03  0.43120E-03  0.41864E-03  0.43748E-03  0.19797E-03  0.35982E-03  0.32674E-03  0.18952E-04
